order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
51,2023-02-06T04:15:03Z,2023-02-06,22492,4670,Retail,PayPal,COUPON030,22.63,USD
52,2023-04-29T13:57:59Z,2023-04-29,20341,1618,Franchise,PayPal,COUPON031,46.91,AUD
53,2024-09-15T20:14:25Z,2024-09-15,6907,2106,Franchise,Credit Card,COUPON038,7.59,AUD
54,2023-12-06T01:04:32Z,2023-12-06,58275,4473,Retail,PayPal,COUPON007,45.16,EUR
55,2024-05-23T17:05:06Z,2024-05-23,28524,1039,Online,PayPal,COUPON003,22.20,EUR
56,2023-07-15T22:02:16Z,2023-07-15,11163,2833,Franchise,PayPal,COUPON041,26.35,EUR
57,2024-01-16T04:57:26Z,2024-01-16,36444,2507,Online,Afterpay,COUPON041,11.85,USD
58,2023-12-01T07:00:37Z,2023-12-01,85242,5113,Online,Credit Card,COUPON028,20.96,USD
59,2023-09-05T19:54:01Z,2023-09-05,61244,2311,Retail,Cash,COUPON043,47.27,AUD
60,2023-07-02T06:45:31Z,2023-07-02,71083,4133,Retail,Gift Card,COUPON030,24.19,EUR
61,2023-07-08T00:04:53Z,2023-07-08,44538,1267,Franchise,PayPal,,22.15,USD
62,2023-01-25T03:04:12Z,2023-01-25,59345,4360,Retail,PayPal,COUPON029,0.54,AUD
63,2023-04-14T10:47:01Z,2023-04-14,47989,1584,Online,Credit Card,COUPON044,15.12,AUD
64,2024-07-01T02:55:47Z,2024-07-01,40597,1848,Online,Credit Card,COUPON029,20.79,EUR
65,2023-04-29T11:07:00Z,2023-04-29,27818,1573,Online,Credit Card,COUPON018,32.09,USD
66,2023-12-19T01:16:39Z,2023-12-19,24245,2572,Retail,Credit Card,COUPON041,27.37,USD
67,2023-02-09T20:27:32Z,2023-02-09,55241,3319,Online,PayPal,COUPON031,30.11,USD
68,2024-04-22T13:24:24Z,2024-04-22,14012,2299,Retail,PayPal,COUPON019,42.19,USD
69,2024-03-06T21:08:24Z,2024-03-06,26047,4330,Online,Afterpay,COUPON034,3.19,AUD
70,2023-04-04T20:58:49Z,2023-04-04,40628,284,Franchise,Cash,COUPON029,5.84,AUD
71,2023-01-24T00:29:19Z,2023-01-24,9790,3832,Franchise,PayPal,COUPON048,48.59,USD
72,2023-01-05T18:53:49Z,2023-01-05,89283,5488,Franchise,Gift Card,COUPON042,48.29,AUD
73,2023-11-10T19:48:40Z,2023-11-10,73410,497,Online,Gift Card,COUPON025,36.78,AUD
74,2024-09-29T14:53:52Z,2024-09-29,53779,2043,Retail,Credit Card,COUPON044,4.16,EUR
75,2023-04-29T15:57:59Z,2023-04-29,3555,1491,Retail,Gift Card,COUPON040,31.00,EUR
76,2024-03-11T22:22:13Z,2024-03-11,48894,4699,Franchise,PayPal,COUPON010,37.08,EUR
77,2024-08-03T17:20:18Z,2024-08-03,19030,4066,Online,Cash,COUPON008,20.45,EUR
78,2023-01-29T20:02:01Z,2023-01-29,68821,2606,Retail,Cash,COUPON020,15.47,USD
79,2024-05-06T04:01:45Z,2024-05-06,39169,3122,Retail,Gift Card,COUPON034,10.05,EUR
80,2024-09-19T20:15:16Z,2024-09-19,72392,2760,Franchise,Cash,COUPON035,34.70,AUD
81,2023-10-02T08:40:59Z,2023-10-02,24830,2829,Franchise,Cash,COUPON032,33.27,AUD
82,2024-05-29T08:07:45Z,2024-05-29,47329,110,Franchise,PayPal,COUPON011,38.19,EUR
83,2024-08-02T19:48:53Z,2024-08-02,69545,3210,Retail,PayPal,COUPON004,4.42,EUR
84,2023-09-04T01:30:02Z,2023-09-04,55307,1214,Franchise,Afterpay,COUPON011,8.11,EUR
85,2023-12-08T01:46:50Z,2023-12-08,10643,3475,Retail,Cash,COUPON033,1.79,EUR
86,2023-09-26T14:54:28Z,2023-09-26,64388,2651,Online,Cash,COUPON049,48.89,EUR
87,2023-11-14T01:04:10Z,2023-11-14,42782,4986,Retail,Credit Card,COUPON002,14.26,EUR
88,2024-05-09T20:26:11Z,2024-05-09,53787,160,Franchise,Cash,COUPON045,42.82,USD
89,2023-12-07T21:08:46Z,2023-12-07,56789,3484,Franchise,PayPal,COUPON025,46.38,EUR
90,2023-12-27T13:28:15Z,2023-12-27,43706,4762,Online,Cash,COUPON025,40.31,AUD
91,2024-04-29T16:03:39Z,2024-04-29,35327,3646,Online,Cash,COUPON048,37.14,EUR
92,2023-03-30T00:33:51Z,2023-03-30,49492,2929,Franchise,Cash,COUPON046,28.72,EUR
93,2024-10-01T11:55:31Z,2024-10-01,26590,2531,Online,Credit Card,COUPON031,12.93,AUD
94,2024-03-07T23:24:07Z,2024-03-07,27638,3626,Retail,Credit Card,COUPON029,18.50,USD
95,2023-04-11T08:33:23Z,2023-04-11,34859,699,Online,PayPal,COUPON039,5.95,EUR
96,2023-06-17T05:04:44Z,2023-06-17,20573,869,Franchise,Gift Card,COUPON011,21.26,AUD
97,2023-08-03T02:25:06Z,2023-08-03,26206,3673,Online,Cash,COUPON028,21.75,EUR
98,2023-06-06T14:30:37Z,2023-06-06,42581,4122,Franchise,Gift Card,COUPON021,22.79,AUD
99,2023-03-07T07:20:46Z,2023-03-07,19635,3970,Online,PayPal,COUPON027,42.69,USD
100,2024-04-05T08:35:41Z,2024-04-05,59549,824,Online,Afterpay,COUPON037,19.91,EUR
101,2024-09-25T20:06:25Z,2024-09-25,3487,2507,Franchise,Gift Card,COUPON023,32.65,EUR
102,2023-02-22T01:07:15Z,2023-02-22,73889,2941,Retail,Cash,COUPON021,35.40,EUR
103,2024-08-05T08:54:34Z,2024-08-05,48625,4373,Online,Afterpay,COUPON003,31.95,EUR
104,2023-06-18T06:20:42Z,2023-06-18,32872,4096,Franchise,Gift Card,COUPON042,12.69,EUR
105,2024-07-27T06:11:21Z,2024-07-27,46289,272,Online,Credit Card,COUPON045,15.00,EUR
106,2023-09-12T17:32:26Z,2023-09-12,10279,1921,Retail,Credit Card,COUPON035,14.94,USD
107,2024-06-20T02:44:14Z,2024-06-20,16649,2015,Franchise,Gift Card,COUPON039,32.73,USD
108,2023-06-28T03:18:14Z,2023-06-28,22036,4275,Online,Gift Card,COUPON009,32.84,USD
109,2024-07-14T05:39:10Z,2024-07-14,21664,2911,Online,Cash,COUPON002,28.82,AUD
110,2024-03-03T08:22:21Z,2024-03-03,79053,797,Online,Credit Card,COUPON033,48.53,EUR
111,2024-06-22T21:24:36Z,2024-06-22,65695,3591,Franchise,PayPal,COUPON015,34.65,USD
112,2023-12-10T10:53:31Z,2023-12-10,76870,2097,Retail,Credit Card,COUPON015,35.65,AUD
113,2024-03-15T01:44:06Z,2024-03-15,26386,1362,Online,PayPal,COUPON039,11.10,USD
114,2024-02-17T02:16:48Z,2024-02-17,52384,3164,Franchise,PayPal,COUPON048,18.95,AUD
115,2023-10-15T06:58:00Z,2023-10-15,23085,3493,Franchise,Gift Card,COUPON031,35.70,AUD
116,2024-05-21T11:34:13Z,2024-05-21,60811,3781,Retail,Cash,COUPON020,12.67,EUR
117,2023-01-31T00:28:58Z,2023-01-31,68509,1315,Franchise,PayPal,COUPON007,23.91,USD
118,2023-07-31T23:46:48Z,2023-07-31,42914,2339,Franchise,PayPal,COUPON028,1.37,EUR
119,2024-03-02T07:15:23Z,2024-03-02,60819,4836,Online,Credit Card,COUPON045,9.17,USD
120,2023-05-13T00:11:24Z,2023-05-13,6280,3014,Retail,Cash,COUPON007,2.20,EUR
121,2023-12-03T03:55:33Z,2023-12-03,51522,3027,Online,Cash,COUPON046,34.91,EUR
122,2024-07-26T16:26:28Z,2024-07-26,75666,4353,Online,Credit Card,COUPON003,14.38,USD
123,2024-09-08T16:23:58Z,2024-09-08,37790,754,Retail,PayPal,COUPON006,10.47,USD
124,2024-09-21T14:22:02Z,2024-09-21,14619,3148,Online,Afterpay,COUPON045,32.53,EUR
125,2023-04-04T06:25:56Z,2023-04-04,85287,5169,Online,Credit Card,COUPON010,44.18,EUR
126,2024-06-12T03:10:58Z,2024-06-12,48766,3248,Franchise,Cash,COUPON036,41.62,USD
127,2023-10-11T18:24:31Z,2023-10-11,30352,1232,Retail,Credit Card,COUPON033,33.04,EUR
128,2024-04-22T08:07:07Z,2024-04-22,49320,4519,Franchise,PayPal,COUPON040,11.53,USD
129,2023-06-22T19:36:57Z,2023-06-22,1038,3731,Online,Credit Card,COUPON028,18.06,USD
130,2023-10-23T13:11:52Z,2023-10-23,37540,2532,Retail,PayPal,COUPON035,49.73,EUR
131,2024-09-15T18:27:31Z,2024-09-15,54600,3880,Retail,Credit Card,,4.44,USD
132,2024-07-28T13:02:14Z,2024-07-28,44682,3948,Retail,Afterpay,COUPON024,9.08,AUD
133,2024-03-12T14:19:37Z,2024-03-12,48572,3787,Online,Cash,COUPON035,24.25,USD
134,2023-04-24T20:36:03Z,2023-04-24,76672,733,Online,Afterpay,COUPON024,45.87,AUD
135,2023-02-19T11:21:27Z,2023-02-19,6275,3787,Retail,Gift Card,COUPON018,44.11,AUD
136,2024-09-27T03:10:39Z,2024-09-27,33138,3978,Franchise,PayPal,COUPON012,10.81,USD
137,2023-09-27T01:08:13Z,2023-09-27,4939,3893,Retail,Cash,COUPON006,1.83,EUR
138,2023-07-24T13:17:09Z,2023-07-24,49887,3966,Franchise,PayPal,COUPON016,31.28,USD
139,2023-01-03T15:05:39Z,2023-01-03,46416,2534,Franchise,PayPal,COUPON043,13.74,USD
140,2023-09-26T02:39:20Z,2023-09-26,50373,3733,Online,Credit Card,COUPON047,32.80,USD
141,2024-06-25T06:32:10Z,2024-06-25,16235,898,Online,Credit Card,COUPON034,29.11,EUR
142,2024-03-09T16:15:42Z,2024-03-09,71860,2457,Online,Credit Card,COUPON005,3.58,USD
143,2023-03-14T18:18:57Z,2023-03-14,21591,4711,Retail,Afterpay,COUPON030,24.14,USD
144,2023-05-23T16:21:16Z,2023-05-23,59678,279,Retail,PayPal,COUPON041,28.02,AUD
145,2023-04-19T20:04:50Z,2023-04-19,15471,3130,Retail,Gift Card,COUPON030,45.64,EUR
146,2023-12-05T10:45:18Z,2023-12-05,60481,4566,Online,Credit Card,COUPON034,9.10,AUD
147,2023-01-11T17:48:25Z,2023-01-11,69730,1399,Online,Credit Card,COUPON005,19.92,AUD
148,2023-06-02T02:24:05Z,2023-06-02,53278,2725,Franchise,Credit Card,COUPON006,43.64,AUD
149,2023-04-22T14:17:29Z,2023-04-22,60621,2828,Online,PayPal,COUPON023,42.14,USD
150,2024-03-06T21:01:12Z,2024-03-06,56671,2118,Online,Cash,COUPON010,44.02,AUD
151,2024-01-05T19:32:08Z,2024-01-05,31450,920,Retail,Gift Card,COUPON036,26.12,EUR
152,2024-03-22T15:04:46Z,2024-03-22,16803,4907,Franchise,Credit Card,COUPON049,40.33,USD
153,2023-10-10T00:08:45Z,2023-10-10,43772,1205,Retail,PayPal,COUPON026,44.69,AUD
154,2024-03-22T20:02:46Z,2024-03-22,74103,4159,Online,Cash,COUPON045,10.67,AUD
155,2024-06-08T18:26:02Z,2024-06-08,57923,2233,Franchise,Credit Card,COUPON018,20.76,AUD
156,2023-04-19T15:40:19Z,2023-04-19,15105,1808,Online,Cash,,8.50,USD
157,2023-05-31T02:35:01Z,2023-05-31,1931,2087,Franchise,Credit Card,COUPON030,16.80,AUD
158,2023-10-29T00:17:27Z,2023-10-29,25062,4961,Online,Cash,COUPON018,40.30,EUR
159,2023-09-30T17:28:37Z,2023-09-30,51679,2456,Franchise,Afterpay,COUPON047,8.41,AUD
160,2024-08-06T01:03:10Z,2024-08-06,21308,764,Online,Cash,COUPON042,4.07,EUR
161,2024-09-21T23:51:29Z,2024-09-21,61639,283,Retail,PayPal,COUPON002,14.78,USD
162,2024-06-20T15:33:05Z,2024-06-20,67293,575,Franchise,Cash,COUPON030,5.94,USD
163,2024-01-13T14:17:55Z,2024-01-13,67407,404,Franchise,Gift Card,COUPON017,24.06,AUD
164,2023-03-08T10:42:47Z,2023-03-08,25064,970,Online,PayPal,COUPON023,44.91,AUD
165,2024-06-22T07:10:58Z,2024-06-22,72742,3085,Retail,Gift Card,COUPON045,13.31,AUD
166,2024-08-25T17:02:26Z,2024-08-25,16119,3462,Online,PayPal,COUPON048,5.54,AUD
167,2024-09-02T18:23:34Z,2024-09-02,46976,540,Retail,Cash,COUPON019,0.54,AUD
168,2024-08-10T20:33:37Z,2024-08-10,9378,21,Franchise,Gift Card,COUPON030,33.77,USD
169,2024-01-14T03:49:39Z,2024-01-14,61762,1780,Online,Credit Card,COUPON048,22.46,EUR
170,2023-08-04T23:51:32Z,2023-08-04,8119,567,Online,Credit Card,COUPON034,49.67,EUR
171,2024-09-03T18:19:37Z,2024-09-03,78819,2530,Online,Afterpay,COUPON032,14.68,AUD
172,2024-01-19T19:59:33Z,2024-01-19,77704,4,Franchise,PayPal,COUPON037,45.81,AUD
173,2023-08-02T04:11:28Z,2023-08-02,36768,2325,Retail,Credit Card,COUPON049,8.58,EUR
174,2023-04-04T00:39:25Z,2023-04-04,15883,2193,Retail,Afterpay,COUPON039,40.22,EUR
175,2023-09-27T16:43:37Z,2023-09-27,77631,4034,Retail,PayPal,COUPON013,40.16,AUD
176,2024-07-12T17:53:38Z,2024-07-12,25552,1801,Online,Afterpay,COUPON024,12.72,EUR
177,2023-02-04T08:53:27Z,2023-02-04,19570,1034,Online,Gift Card,COUPON027,48.18,AUD
178,2024-09-01T12:56:44Z,2024-09-01,57824,337,Retail,Credit Card,COUPON013,49.77,AUD
179,2024-05-28T21:34:45Z,2024-05-28,17799,1503,Online,Afterpay,COUPON026,19.70,EUR
180,2023-03-25T13:40:42Z,2023-03-25,43513,263,Franchise,Cash,COUPON013,18.64,USD
181,2024-03-05T01:57:06Z,2024-03-05,45388,1311,Franchise,Gift Card,COUPON045,2.03,EUR
182,2023-08-16T15:58:35Z,2023-08-16,72590,2602,Retail,Credit Card,COUPON027,21.19,AUD
183,2023-10-27T03:36:20Z,2023-10-27,51242,4031,Franchise,Gift Card,COUPON003,9.83,AUD
184,2023-01-28T07:40:22Z,2023-01-28,71918,4124,Retail,PayPal,COUPON013,6.45,USD
185,2023-06-11T23:11:13Z,2023-06-11,43613,1670,Retail,PayPal,COUPON031,7.81,AUD
186,2023-02-11T04:36:53Z,2023-02-11,33394,801,Franchise,Gift Card,COUPON021,19.48,EUR
187,2024-07-12T10:31:37Z,2024-07-12,52468,1108,Retail,Cash,COUPON049,19.04,EUR
188,2024-04-11T16:40:10Z,2024-04-11,61750,858,Online,Gift Card,COUPON026,7.27,AUD
189,2023-06-29T10:54:09Z,2023-06-29,45902,3488,Franchise,Credit Card,COUPON042,14.06,EUR
190,2023-08-29T21:20:34Z,2023-08-29,15217,531,Online,Cash,COUPON017,21.23,EUR
191,2024-03-22T05:33:40Z,2024-03-22,66830,3846,Online,Credit Card,COUPON020,47.66,AUD
192,2024-02-21T06:49:02Z,2024-02-21,28219,4994,Online,Cash,COUPON025,27.23,AUD
193,2024-06-07T20:17:26Z,2024-06-07,57204,4504,Franchise,Cash,COUPON033,21.24,AUD
194,2024-02-03T08:40:40Z,2024-02-03,68774,3041,Retail,PayPal,COUPON004,6.88,AUD
195,2024-05-24T08:18:38Z,2024-05-24,5632,3923,Online,PayPal,COUPON021,2.78,USD
196,2024-06-02T04:38:25Z,2024-06-02,59871,2159,Retail,Cash,COUPON035,23.29,AUD
197,2024-08-05T15:15:52Z,2024-08-05,26261,2239,Retail,Afterpay,COUPON021,32.70,AUD
198,2024-08-19T13:56:25Z,2024-08-19,1438,2295,Franchise,Credit Card,COUPON013,21.67,EUR
199,2023-09-17T04:53:37Z,2023-09-17,76669,585,Retail,PayPal,COUPON026,38.24,EUR
200,2023-03-24T12:46:35Z,2023-03-24,70245,3861,Retail,Gift Card,COUPON037,2.39,AUD
201,2024-03-01T09:11:28Z,2024-03-01,58727,4394,Online,Afterpay,COUPON048,12.47,AUD
202,2023-03-31T00:55:16Z,2023-03-31,63678,3677,Online,Cash,COUPON018,40.87,USD
203,2024-03-12T11:14:03Z,2024-03-12,84005,5403,Retail,Credit Card,COUPON027,26.95,AUD
204,2024-06-23T07:23:04Z,2024-06-23,72678,2511,Retail,Cash,COUPON050,6.67,EUR
205,2024-05-06T11:26:11Z,2024-05-06,22705,1649,Franchise,PayPal,COUPON045,45.24,EUR
206,2023-10-14T22:45:30Z,2023-10-14,45482,1196,Online,PayPal,,23.40,EUR
207,2024-04-25T21:47:35Z,2024-04-25,31502,4697,Retail,Afterpay,COUPON003,25.20,USD
208,2024-01-26T21:49:08Z,2024-01-26,30427,36,Online,Credit Card,COUPON045,15.58,AUD
209,2024-05-19T17:48:23Z,2024-05-19,46618,1742,Retail,Afterpay,COUPON029,12.38,EUR
210,2023-03-29T13:26:29Z,2023-03-29,65825,1646,Online,Cash,COUPON040,24.91,EUR
211,2023-04-25T01:00:31Z,2023-04-25,12734,793,Online,Cash,COUPON026,34.06,AUD
212,2024-08-12T22:37:45Z,2024-08-12,14581,92,Franchise,Afterpay,COUPON030,48.66,EUR
213,2023-02-09T22:59:31Z,2023-02-09,6146,4921,Retail,PayPal,COUPON025,42.64,AUD
214,2024-08-09T16:33:03Z,2024-08-09,73952,677,Franchise,Cash,COUPON025,34.61,EUR
215,2024-05-31T04:48:40Z,2024-05-31,15256,1806,Retail,Cash,COUPON028,48.50,AUD
216,2024-05-11T01:50:43Z,2024-05-11,7015,2675,Online,Afterpay,COUPON022,43.80,AUD
217,2023-04-16T23:48:32Z,2023-04-16,69810,4270,Retail,Gift Card,COUPON015,11.43,EUR
218,2023-12-02T18:02:36Z,2023-12-02,2311,4936,Online,Afterpay,COUPON043,45.36,USD
219,2023-09-06T23:10:53Z,2023-09-06,55611,1136,Retail,PayPal,COUPON026,31.05,EUR
220,2023-10-07T10:21:49Z,2023-10-07,69860,3852,Online,Afterpay,COUPON037,27.49,AUD
221,2024-03-07T15:46:15Z,2024-03-07,1625,253,Retail,Credit Card,COUPON014,6.30,AUD
222,2023-05-09T00:18:47Z,2023-05-09,78946,2280,Franchise,Gift Card,COUPON049,39.90,AUD
223,2023-03-14T03:18:44Z,2023-03-14,72300,4127,Franchise,Credit Card,COUPON021,31.98,AUD
224,2023-12-04T15:46:59Z,2023-12-04,31584,3341,Online,Cash,COUPON011,29.53,USD
225,2023-04-13T08:01:39Z,2023-04-13,43284,1110,Retail,Cash,COUPON045,20.57,AUD
226,2023-12-25T16:11:06Z,2023-12-25,69393,1301,Retail,PayPal,COUPON007,12.16,USD
227,2023-06-23T13:27:42Z,2023-06-23,79588,2351,Online,Afterpay,COUPON036,22.32,USD
228,2023-08-17T00:51:50Z,2023-08-17,19294,862,Online,Afterpay,COUPON008,7.55,AUD
229,2024-04-23T17:32:26Z,2024-04-23,78613,3676,Franchise,Gift Card,COUPON024,6.94,AUD
230,2023-05-20T03:37:05Z,2023-05-20,76937,579,Retail,Credit Card,COUPON019,15.09,AUD
231,2024-08-08T20:24:48Z,2024-08-08,57775,4034,Retail,PayPal,COUPON039,12.24,USD
232,2023-03-03T23:21:53Z,2023-03-03,35506,4644,Retail,Cash,COUPON045,45.38,AUD
233,2023-01-22T03:22:22Z,2023-01-22,71226,3766,Franchise,Credit Card,COUPON043,9.47,AUD
234,2023-04-12T04:18:51Z,2023-04-12,27499,4961,Online,Afterpay,COUPON044,41.01,USD
235,2023-12-07T14:34:13Z,2023-12-07,64645,50,Franchise,PayPal,COUPON019,35.28,USD
236,2023-03-05T23:54:32Z,2023-03-05,13286,4486,Online,Afterpay,COUPON010,31.37,USD
237,2024-04-30T13:14:38Z,2024-04-30,50775,1026,Franchise,Gift Card,COUPON046,44.35,EUR
238,2023-06-12T10:10:46Z,2023-06-12,21133,3872,Retail,Credit Card,COUPON021,15.91,USD
239,2024-03-19T00:42:31Z,2024-03-19,17453,4717,Online,PayPal,COUPON010,49.73,AUD
240,2024-02-12T09:10:49Z,2024-02-12,33072,1281,Retail,Afterpay,COUPON050,26.70,AUD
241,2024-06-24T08:49:57Z,2024-06-24,67647,1184,Retail,PayPal,COUPON042,7.29,USD
242,2023-12-11T04:34:50Z,2023-12-11,16034,4000,Franchise,Afterpay,COUPON041,4.99,USD
243,2023-09-15T15:17:59Z,2023-09-15,37760,3445,Retail,Gift Card,COUPON049,28.55,USD
244,2024-07-19T03:24:26Z,2024-07-19,49904,2327,Online,Credit Card,COUPON018,3.70,AUD
245,2023-02-05T14:25:09Z,2023-02-05,15356,3482,Retail,Gift Card,COUPON001,23.05,EUR
246,2024-01-15T02:50:16Z,2024-01-15,22894,4713,Franchise,Gift Card,COUPON017,36.40,AUD
247,2023-02-14T09:54:52Z,2023-02-14,66529,3443,Online,Credit Card,COUPON009,3.04,AUD
248,2024-07-09T17:52:06Z,2024-07-09,24050,4460,Online,Gift Card,COUPON044,30.14,USD
249,2023-02-05T22:50:43Z,2023-02-05,10198,1188,Franchise,Gift Card,COUPON031,15.89,USD
250,2023-01-23T10:45:53Z,2023-01-23,44395,3820,Franchise,Credit Card,COUPON016,42.27,EUR
251,2023-05-19T18:04:41Z,2023-05-19,53486,4069,Online,Cash,COUPON010,48.65,USD
252,2024-07-06T16:01:59Z,2024-07-06,31642,4295,Online,Gift Card,COUPON034,40.51,AUD
253,2024-01-19T12:28:41Z,2024-01-19,6642,3181,Retail,Afterpay,COUPON007,48.74,USD
254,2023-09-28T01:32:17Z,2023-09-28,10959,3144,Franchise,Afterpay,COUPON035,16.63,EUR
255,2023-01-06T22:24:39Z,2023-01-06,78147,1779,Retail,Afterpay,COUPON040,45.00,AUD
256,2023-07-20T10:06:06Z,2023-07-20,3192,4447,Retail,Credit Card,COUPON031,43.28,AUD
257,2023-01-02T03:21:13Z,2023-01-02,69721,3244,Retail,PayPal,COUPON033,35.83,EUR
258,2024-05-22T22:11:31Z,2024-05-22,2981,649,Franchise,Gift Card,COUPON030,23.64,USD
259,2023-12-01T14:41:31Z,2023-12-01,29893,3704,Franchise,Cash,COUPON032,46.75,AUD
260,2023-03-18T09:06:57Z,2023-03-18,55753,3558,Online,PayPal,COUPON035,48.22,EUR
261,2023-12-19T06:29:47Z,2023-12-19,23252,4014,Franchise,Cash,COUPON003,8.49,USD
262,2024-01-23T22:58:06Z,2024-01-23,64827,4766,Retail,PayPal,COUPON040,11.83,EUR
263,2023-08-10T15:11:58Z,2023-08-10,4398,721,Retail,Cash,COUPON034,47.71,USD
